page	total_items	verified	verify_ratio	english_ratio	jp_ratio	pure_eng_ratio	src_tag_rows	content_rows	class_spec	class_refined
g001	162	162	1.0	0.988	1.0	0.0	136	162	FATAL	OK
g002	142	142	1.0	0.669	0.986	0.014	0	142	IMPROVE	OK
g003	262	262	1.0	0.92	1.0	0.0	158	262	FATAL	OK
g004	181	181	1.0	1.0	0.989	0.011	168	181	FATAL	OK
g005	268	268	1.0	1.0	0.97	0.03	260	268	FATAL	OK
g006	290	290	1.0	0.955	0.948	0.052	0	290	FATAL	OK
g007	75	75	1.0	0.96	0.947	0.053	0	75	FATAL	OK
g008	300	300	1.0	1.0	0.957	0.043	0	300	FATAL	OK
g009	90	90	1.0	1.0	1.0	0.0	0	90	FATAL	OK
g010	250	247	0.988	0.976	1.0	0.0	242	250	FATAL	OK
g011	282	279	0.989	0.982	1.0	0.0	242	282	FATAL	OK
g012	73	73	1.0	1.0	1.0	0.0	57	73	FATAL	OK
g013	295	295	1.0	1.0	1.0	0.0	241	295	FATAL	OK
g014	15	15	1.0	1.0	1.0	0.0	13	15	FATAL	OK
g015	258	258	1.0	0.818	1.0	0.0	258	258	FATAL	OK
g016	299	294	0.983	0.94	1.0	0.0	279	299	FATAL	OK
g017	273	272	0.996	0.963	1.0	0.0	264	273	FATAL	OK
g018	235	234	0.996	0.987	0.996	0.004	191	235	FATAL	OK
g019	295	292	0.99	0.993	1.0	0.0	292	295	FATAL	OK
g020	103	102	0.99	1.0	1.0	0.0	102	103	FATAL	OK
g021	297	296	0.997	1.0	1.0	0.0	283	297	FATAL	OK
g022	25	25	1.0	1.0	1.0	0.0	23	25	FATAL	OK
g023	220	216	0.982	0.932	1.0	0.0	216	220	FATAL	OK
g024	220	219	0.995	0.991	1.0	0.0	216	220	FATAL	OK
g025	171	171	1.0	0.971	1.0	0.0	147	171	FATAL	OK
g026	273	191	0.7	1.0	0.7	0.3	191	273	FATAL	IMPROVE
g027	194	137	0.706	1.0	0.706	0.294	39	194	FATAL	OK
g028	300	300	1.0	1.0	1.0	0.0	300	300	FATAL	OK
g029	284	278	0.979	1.0	0.979	0.021	278	284	FATAL	OK
g030	167	125	0.749	1.0	0.749	0.251	125	167	FATAL	OK
g031	182	107	0.588	1.0	0.588	0.412	107	182	FATAL	IMPROVE
g032	150	89	0.593	1.0	0.593	0.407	89	150	FATAL	IMPROVE
g033	154	97	0.63	1.0	0.63	0.37	93	154	FATAL	IMPROVE
g034	300	128	0.427	1.0	0.427	0.573	98	300	FATAL	IMPROVE
g035	300	132	0.44	1.0	0.44	0.56	117	300	FATAL	IMPROVE
g036	67	30	0.448	1.0	0.448	0.552	30	67	FATAL	IMPROVE
g037	151	77	0.51	1.0	0.51	0.49	77	151	FATAL	IMPROVE
g038	217	58	0.267	1.0	0.267	0.733	58	217	FATAL	FATAL
g039	111	102	0.919	1.0	0.919	0.081	83	111	FATAL	OK
g040	277	172	0.621	1.0	0.621	0.379	158	277	FATAL	IMPROVE
g041	209	164	0.785	0.99	0.785	0.215	160	209	FATAL	OK
g042	300	176	0.587	0.947	0.587	0.413	40	300	FATAL	IMPROVE
g043	300	145	0.483	0.887	0.483	0.517	0	300	FATAL	IMPROVE
g044	41	30	0.732	0.829	0.732	0.268	0	41	FATAL	OK
g045	300	298	0.993	0.877	0.993	0.007	0	300	FATAL	OK
g046	300	297	0.99	0.863	0.99	0.01	0	300	FATAL	OK
g047	55	54	0.982	0.745	0.982	0.018	0	55	FATAL	OK
g048	300	159	0.53	0.893	0.523	0.477	0	300	FATAL	IMPROVE
g049	31	5	0.161	0.968	0.161	0.839	0	31	FATAL	FATAL
g050	226	107	0.473	1.0	0.473	0.527	0	226	FATAL	IMPROVE
g051	171	163	0.953	1.0	0.953	0.047	9	171	FATAL	OK
g052	300	172	0.573	1.0	0.573	0.427	0	300	FATAL	IMPROVE
g053	29	10	0.345	1.0	0.345	0.655	0	29	FATAL	IMPROVE
g054	262	188	0.718	1.0	0.718	0.282	0	262	FATAL	OK
g055	216	104	0.481	1.0	0.481	0.519	0	216	FATAL	IMPROVE
g056	274	151	0.551	1.0	0.551	0.449	0	274	FATAL	IMPROVE
g057	166	76	0.458	1.0	0.458	0.542	0	166	FATAL	IMPROVE
g058	129	73	0.566	1.0	0.566	0.434	73	129	FATAL	IMPROVE
g059	300	165	0.55	1.0	0.55	0.45	165	300	FATAL	IMPROVE
g060	217	95	0.438	1.0	0.438	0.562	95	217	FATAL	IMPROVE
g061	77	50	0.649	1.0	0.649	0.351	50	77	FATAL	IMPROVE
g062	258	164	0.636	1.0	0.636	0.364	164	258	FATAL	IMPROVE
g063	92	62	0.674	1.0	0.674	0.326	62	92	FATAL	IMPROVE
g064	294	97	0.33	1.0	0.33	0.67	66	294	FATAL	IMPROVE
g065	283	109	0.385	1.0	0.385	0.615	78	283	FATAL	IMPROVE
g066	232	62	0.267	1.0	0.267	0.733	38	232	FATAL	FATAL
g067	192	163	0.849	1.0	0.849	0.151	56	192	FATAL	OK
